"sessionId","start_time","end_time","show_hist","human","rounds","total_payoff","numPlayers","a1","a2","payoff_1","payoff_2","secs_player1","secs_player2","secs_PayoffStage"
"ZQRKOsWzwhjIoCQlFWiF",2019-06-27 12:02:43,2019-06-27 12:02:45,FALSE,1,1,0,2,"r","r",0,0,2.00421094894409,NA,NA
"ZQRKOsWzwhjIoCQlFWiF",2019-06-27 12:02:47,2019-06-27 12:02:49,FALSE,2,2,-1,2,"s","p",1,-1,NA,1.64848899841309,NA
"ZQRKOsWzwhjIoCQlFWiF",2019-06-27 12:02:51,2019-06-27 12:02:52,FALSE,1,3,0,2,"s","p",1,-1,1.53930401802063,NA,NA
"ZQRKOsWzwhjIoCQlFWiF",2019-06-27 12:02:54,2019-06-27 12:02:56,FALSE,2,4,1,2,"r","p",-1,1,NA,1.47231698036194,NA
"ZQRKOsWzwhjIoCQlFWiF",2019-06-27 12:02:58,2019-06-27 12:03:00,FALSE,1,5,0,2,"r","p",-1,1,1.75123405456543,NA,NA
"ZQRKOsWzwhjIoCQlFWiF",2019-06-27 12:03:01,2019-06-27 12:03:05,FALSE,2,6,0,2,"p","p",0,0,NA,2.93262481689453,NA
"ZQRKOsWzwhjIoCQlFWiF",2019-06-27 12:03:07,2019-06-27 12:03:08,FALSE,1,7,1,2,"s","p",1,-1,1.29735898971558,NA,NA
"zDCURwJtrDjxpbfCtdYN",2019-06-27 12:04:15,2019-06-27 12:04:19,FALSE,1,1,-1,2,"r","p",-1,1,3.31337594985962,NA,NA
"zDCURwJtrDjxpbfCtdYN",2019-06-27 12:04:21,2019-06-27 12:04:23,FALSE,2,2,-2,2,"s","p",1,-1,NA,1.90285921096802,NA
"zDCURwJtrDjxpbfCtdYN",2019-06-27 12:04:26,2019-06-27 12:04:28,FALSE,1,3,-1,2,"s","p",1,-1,2.65976595878601,NA,NA
"zDCURwJtrDjxpbfCtdYN",2019-06-27 12:04:30,2019-06-27 12:04:32,FALSE,2,4,0,2,"r","p",-1,1,NA,1.97684502601624,NA
"oquncoSKaPelFXcPYOFC",2019-06-27 12:07:19,2019-06-27 12:07:24,TRUE,1,1,1,2,"l","p",1,-1,4.67688298225403,NA,NA
"oquncoSKaPelFXcPYOFC",2019-06-27 12:07:26,2019-06-27 12:07:32,TRUE,2,2,0,2,"s","m",1,-1,NA,5.65926814079285,NA
